Material, Thickness (cm), Dose (rad), High Risk Events
Aluminum Wall 6mm (BaseLine),2.0,2.93494e-18,398714
Aluminum Wall 6mm (BaseLine),2.5,2.93352e-18,398500
Aluminum Wall 6mm (BaseLine),3.0,2.9337e-18,398944
Aluminum Wall 6mm (BaseLine),3.5,2.9341500000000003e-18,398734
Aluminum Wall 6mm (BaseLine),4.0,2.93773e-18,397903
Aluminum Wall 6mm (BaseLine),4.5,2.9341900000000004e-18,398534
Aluminum Wall 6mm (BaseLine),5.0,2.9351100000000004e-18,398131
Aluminum Wall 6mm (BaseLine),5.5,2.93619e-18,398299
Aluminum Wall 6mm (BaseLine),6.0,2.9381200000000004e-18,398227
Aluminum Wall 6mm (BaseLine),6.5,2.93625e-18,398665
Aluminum Wall 6mm (BaseLine),7.0,2.9341500000000003e-18,397543
Aluminum Wall 6mm (BaseLine),7.5,2.9326500000000003e-18,398055
Aluminum Wall 6mm (BaseLine),8.0,2.9333300000000004e-18,397337
Aluminum Wall 6mm (BaseLine),8.5,2.9363400000000004e-18,397652
Aluminum Wall 6mm (BaseLine),9.0,2.93368e-18,397537
Aluminum Wall 6mm (BaseLine),9.5,2.93564e-18,397718
Aluminum Wall 6mm (BaseLine),10.0,2.9327100000000003e-18,397346
Aluminum Wall 6mm (BaseLine),10.5,2.93457e-18,397308
Aluminum Wall 6mm (BaseLine),11.0,2.93404e-18,397935
Aluminum Wall 6mm (BaseLine),11.5,2.9335400000000003e-18,397256
Aluminum Wall 6mm (BaseLine),12.0,2.93533e-18,397583
Aluminum Wall 6mm (BaseLine),12.5,2.9364900000000004e-18,396508
Aluminum Wall 6mm (BaseLine),13.0,2.9324e-18,397235
Aluminum Wall 6mm (BaseLine),13.5,2.93404e-18,397616
Aluminum Wall 6mm (BaseLine),14.0,2.9352300000000004e-18,397474
Aluminum Wall 6mm (BaseLine),14.5,2.9338200000000004e-18,397507
Aluminum Wall 6mm (BaseLine),15.0,2.9340200000000002e-18,397473
HDPE,2.0,3.10261e-18,406099
HDPE,2.5,2.93233e-18,399227
HDPE,3.0,2.7543200000000003e-18,392160
HDPE,3.5,2.5681700000000003e-18,388102
HDPE,4.0,2.37147e-18,381689
HDPE,4.5,2.16356e-18,373255
HDPE,5.0,1.94117e-18,369740
HDPE,5.5,1.7033600000000002e-18,363615
HDPE,6.0,1.4399200000000002e-18,352793
HDPE,6.5,1.13558e-18,343717
HDPE,7.0,7.56276e-19,330471
HDPE,7.5,1.1618800000000001e-19,136949
HDPE,8.0,1.81632e-21,3087
HDPE,8.5,1.81562e-21,3192
HDPE,9.0,1.6423299999999999e-21,2971
